operand,binade_exp,count
coulomb_qq,-4,7
coulomb_qq,-3,9
coulomb_qq,-2,247
coulomb_qq,-1,2546
coulomb_qq,0,15819
coulomb_qq,1,50492
coulomb_qq,2,47612
coulomb_qq,3,72271
coulomb_qq,4,27791
coulomb_qq,5,25377
coulomb_qq,6,18906
coulomb_qq,7,394
coulomb_term,-4,1
coulomb_term,-3,12
coulomb_term,-2,130
coulomb_term,-1,1636
coulomb_term,0,6579
coulomb_term,1,43470
coulomb_term,2,34721
coulomb_term,3,60914
coulomb_term,4,52399
coulomb_term,5,29947
coulomb_term,6,22710
coulomb_term,7,7473
coulomb_term,8,1094
coulomb_term,9,346
coulomb_term,10,39
lj_c12,-52,1
lj_c12,-36,2
lj_c12,-31,10
lj_c12,-30,4
lj_c12,-28,1
lj_c12,-26,6
lj_c12,-25,14
lj_c12,-24,32
lj_c12,-23,8
lj_c12,-22,39
lj_c12,-21,16
lj_c12,-20,22
lj_c12,-19,40
lj_c12,-18,106
lj_c12,-17,164
lj_c12,-16,39
lj_c12,-15,60
lj_c12,-14,175
lj_c12,-13,222
lj_c12,-12,59
lj_c12,-11,4
lj_c6,-25,1
lj_c6,-17,2
lj_c6,-15,12
lj_c6,-14,2
lj_c6,-13,1
lj_c6,-12,16
lj_c6,-11,65
lj_c6,-10,30
lj_c6,-9,48
lj_c6,-8,214
lj_c6,-7,106
lj_c6,-6,209
lj_c6,-5,254
lj_c6,-4,60
lj_c6,-3,4
lj_force,-25,606
lj_force,-24,791
lj_force,-23,567
lj_force,-22,394
lj_force,-21,323
lj_force,-20,212
lj_force,-19,167
lj_force,-18,179
lj_force,-17,84
lj_force,-16,93
lj_force,-15,1319
lj_force,-14,5406
lj_force,-13,4019
lj_force,-12,3707
lj_force,-11,7525
lj_force,-10,16044
lj_force,-9,13883
lj_force,-8,20987
lj_force,-7,29624
lj_force,-6,27924
lj_force,-5,31319
lj_force,-4,25781
lj_force,-3,19805
lj_force,-2,15448
lj_force,-1,12596
lj_force,0,9099
lj_force,1,3143
lj_force,2,632
lj_force,3,403
lj_force,4,366
lj_force,5,288
lj_force,6,217
lj_force,7,72
lj_force,8,22
lj_force,9,3
lj_force,13,1
lj_rinv6,1,66262
lj_rinv6,2,50284
lj_rinv6,3,37703
lj_rinv6,4,28902
lj_rinv6,5,21713
lj_rinv6,6,16157
lj_rinv6,7,12603
lj_rinv6,8,8178
lj_rinv6,9,4906
lj_rinv6,10,2831
lj_rinv6,11,1742
lj_rinv6,12,1023
lj_rinv6,13,508
lj_rinv6,14,176
lj_rinv6,15,42
lj_rinv6,16,12
lj_rinv6,17,7
lj_term12,-52,261
lj_term12,-51,429
lj_term12,-50,419
lj_term12,-49,353
lj_term12,-48,297
lj_term12,-47,245
lj_term12,-46,213
lj_term12,-45,175
lj_term12,-44,170
lj_term12,-43,141
lj_term12,-42,121
lj_term12,-41,84
lj_term12,-40,77
lj_term12,-39,93
lj_term12,-38,105
lj_term12,-37,66
lj_term12,-36,51
lj_term12,-35,30
lj_term12,-34,64
lj_term12,-33,26
lj_term12,-32,19
lj_term12,-31,857
lj_term12,-30,2929
lj_term12,-29,2578
lj_term12,-28,2273
lj_term12,-27,1840
lj_term12,-26,2182
lj_term12,-25,2174
lj_term12,-24,4104
lj_term12,-23,4695
lj_term12,-22,5744
lj_term12,-21,8335
lj_term12,-20,7186
lj_term12,-19,6832
lj_term12,-18,8863
lj_term12,-17,15338
lj_term12,-16,15932
lj_term12,-15,14401
lj_term12,-14,15624
lj_term12,-13,18196
lj_term12,-12,16603
lj_term12,-11,14219
lj_term12,-10,12426
lj_term12,-9,10652
lj_term12,-8,9537
lj_term12,-7,8118
lj_term12,-6,6715
lj_term12,-5,6186
lj_term12,-4,5256
lj_term12,-3,4371
lj_term12,-2,3613
lj_term12,-1,3162
lj_term12,0,2545
lj_term12,1,1928
lj_term12,2,1425
lj_term12,3,1079
lj_term12,4,703
lj_term12,5,477
lj_term12,6,321
lj_term12,7,151
lj_term12,8,34
lj_term12,9,4
lj_term12,10,1
lj_term12,13,1
lj_term6,-25,606
lj_term6,-24,791
lj_term6,-23,567
lj_term6,-22,394
lj_term6,-21,323
lj_term6,-20,212
lj_term6,-19,167
lj_term6,-18,179
lj_term6,-17,84
lj_term6,-16,93
lj_term6,-15,1319
lj_term6,-14,5406
lj_term6,-13,4019
lj_term6,-12,3707
lj_term6,-11,7521
lj_term6,-10,16032
lj_term6,-9,13875
lj_term6,-8,20921
lj_term6,-7,29569
lj_term6,-6,27789
lj_term6,-5,31017
lj_term6,-4,25498
lj_term6,-3,19268
lj_term6,-2,14385
lj_term6,-1,10606
lj_term6,0,7537
lj_term6,1,5264
lj_term6,2,3180
lj_term6,3,1673
lj_term6,4,737
lj_term6,5,287
lj_term6,6,22
lj_term6,8,1
nb_force_acc,-16,2
nb_force_acc,-14,13
nb_force_acc,-13,5
nb_force_acc,-12,19
nb_force_acc,-11,6
nb_force_acc,-10,36
nb_force_acc,-9,36
nb_force_acc,-8,55
nb_force_acc,-7,47
nb_force_acc,-6,211
nb_force_acc,-5,269
nb_force_acc,-4,481
nb_force_acc,-3,789
nb_force_acc,-2,1430
nb_force_acc,-1,2965
nb_force_acc,0,6217
nb_force_acc,1,12297
nb_force_acc,2,24291
nb_force_acc,3,44279
nb_force_acc,4,69316
nb_force_acc,5,84471
nb_force_acc,6,87063
nb_force_acc,7,73313
nb_force_acc,8,47976
nb_force_acc,9,22262
nb_force_acc,10,5885
nb_force_acc,11,408
nb_force_acc,12,1
nb_force_acc,15,143
nb_fscal,-26,1
nb_fscal,-25,1
nb_fscal,-24,1
nb_fscal,-23,4
nb_fscal,-22,2
nb_fscal,-21,2
nb_fscal,-20,8
nb_fscal,-19,20
nb_fscal,-18,45
nb_fscal,-17,61
nb_fscal,-16,134
nb_fscal,-15,267
nb_fscal,-14,533
nb_fscal,-13,1267
nb_fscal,-12,2736
nb_fscal,-11,3158
nb_fscal,-10,3084
nb_fscal,-9,6592
nb_fscal,-8,13541
nb_fscal,-7,17819
nb_fscal,-6,21716
nb_fscal,-5,24350
nb_fscal,-4,20378
nb_fscal,-3,18549
nb_fscal,-2,17508
nb_fscal,-1,16296
nb_fscal,0,15372
nb_fscal,1,14396
nb_fscal,2,13148
nb_fscal,3,11465
nb_fscal,4,10496
nb_fscal,5,9049
nb_fscal,6,7178
nb_fscal,7,6456
nb_fscal,8,3251
nb_fscal,9,2702
nb_fscal,10,1447
nb_fscal,11,406
nb_fscal,12,95
nb_fscal,13,20
nb_fscal,14,5
nb_fscal,18,1
rinv,1,221021
rinv,2,36016
rinv,3,5571
rinv,4,1078
rinv,60,695
