operand,binade_exp,count
coulomb_qq,-4,4
coulomb_qq,-2,101
coulomb_qq,-1,886
coulomb_qq,0,9974
coulomb_qq,1,34708
coulomb_qq,2,31554
coulomb_qq,3,41916
coulomb_qq,4,14407
coulomb_qq,5,13364
coulomb_qq,6,8905
coulomb_qq,7,232
coulomb_term,-4,1
coulomb_term,-3,1
coulomb_term,-2,50
coulomb_term,-1,588
coulomb_term,0,3837
coulomb_term,1,30594
coulomb_term,2,21948
coulomb_term,3,37025
coulomb_term,4,29607
coulomb_term,5,16729
coulomb_term,6,11108
coulomb_term,7,3806
coulomb_term,8,551
coulomb_term,9,177
coulomb_term,10,29
lj_c12,-52,1
lj_c12,-36,2
lj_c12,-31,10
lj_c12,-30,4
lj_c12,-28,1
lj_c12,-26,6
lj_c12,-25,12
lj_c12,-24,30
lj_c12,-23,6
lj_c12,-22,39
lj_c12,-21,16
lj_c12,-20,20
lj_c12,-19,38
lj_c12,-18,88
lj_c12,-17,148
lj_c12,-16,29
lj_c12,-15,48
lj_c12,-14,129
lj_c12,-13,184
lj_c12,-12,29
lj_c12,-11,1
lj_c6,-25,1
lj_c6,-17,2
lj_c6,-15,12
lj_c6,-14,2
lj_c6,-13,1
lj_c6,-12,16
lj_c6,-11,61
lj_c6,-10,28
lj_c6,-9,42
lj_c6,-8,188
lj_c6,-7,92
lj_c6,-6,165
lj_c6,-5,202
lj_c6,-4,28
lj_c6,-3,1
lj_force,-25,296
lj_force,-24,317
lj_force,-23,239
lj_force,-22,219
lj_force,-21,122
lj_force,-20,89
lj_force,-19,91
lj_force,-18,80
lj_force,-17,53
lj_force,-16,36
lj_force,-15,788
lj_force,-14,3109
lj_force,-13,2397
lj_force,-12,2105
lj_force,-11,3942
lj_force,-10,9986
lj_force,-9,8558
lj_force,-8,13484
lj_force,-7,18920
lj_force,-6,17070
lj_force,-5,18266
lj_force,-4,14762
lj_force,-3,11460
lj_force,-2,9097
lj_force,-1,7506
lj_force,0,5138
lj_force,1,1579
lj_force,2,321
lj_force,3,218
lj_force,4,201
lj_force,5,157
lj_force,6,120
lj_force,7,59
lj_force,8,16
lj_force,9,5
lj_force,10,5
lj_force,14,1
lj_rinv6,1,38386
lj_rinv6,2,29084
lj_rinv6,3,22444
lj_rinv6,4,17988
lj_rinv6,5,13516
lj_rinv6,6,9918
lj_rinv6,7,7598
lj_rinv6,8,5024
lj_rinv6,9,3099
lj_rinv6,10,1604
lj_rinv6,11,1005
lj_rinv6,12,652
lj_rinv6,13,351
lj_rinv6,14,89
lj_rinv6,15,42
lj_rinv6,16,6
lj_rinv6,17,6
lj_term12,-52,113
lj_term12,-51,216
lj_term12,-50,165
lj_term12,-49,142
lj_term12,-48,122
lj_term12,-47,129
lj_term12,-46,121
lj_term12,-45,74
lj_term12,-44,69
lj_term12,-43,55
lj_term12,-42,43
lj_term12,-41,43
lj_term12,-40,43
lj_term12,-39,44
lj_term12,-38,55
lj_term12,-37,27
lj_term12,-36,30
lj_term12,-35,17
lj_term12,-34,24
lj_term12,-33,11
lj_term12,-32,9
lj_term12,-31,513
lj_term12,-30,1657
lj_term12,-29,1510
lj_term12,-28,1280
lj_term12,-27,1187
lj_term12,-26,1211
lj_term12,-25,1237
lj_term12,-24,1928
lj_term12,-23,2340
lj_term12,-22,3433
lj_term12,-21,5233
lj_term12,-20,4634
lj_term12,-19,4171
lj_term12,-18,5741
lj_term12,-17,9719
lj_term12,-16,10081
lj_term12,-15,9075
lj_term12,-14,9282
lj_term12,-13,10527
lj_term12,-12,9663
lj_term12,-11,8255
lj_term12,-10,7344
lj_term12,-9,6228
lj_term12,-8,5691
lj_term12,-7,4744
lj_term12,-6,4067
lj_term12,-5,3752
lj_term12,-4,3193
lj_term12,-3,2566
lj_term12,-2,2269
lj_term12,-1,1852
lj_term12,0,1452
lj_term12,1,1106
lj_term12,2,799
lj_term12,3,582
lj_term12,4,372
lj_term12,5,257
lj_term12,6,178
lj_term12,7,93
lj_term12,8,26
lj_term12,9,6
lj_term12,10,5
lj_term12,14,1
lj_term6,-25,296
lj_term6,-24,317
lj_term6,-23,239
lj_term6,-22,219
lj_term6,-21,122
lj_term6,-20,89
lj_term6,-19,91
lj_term6,-18,80
lj_term6,-17,53
lj_term6,-16,36
lj_term6,-15,788
lj_term6,-14,3109
lj_term6,-13,2397
lj_term6,-12,2105
lj_term6,-11,3938
lj_term6,-10,9982
lj_term6,-9,8544
lj_term6,-8,13440
lj_term6,-7,18888
lj_term6,-6,16986
lj_term6,-5,18088
lj_term6,-4,14608
lj_term6,-3,11105
lj_term6,-2,8404
lj_term6,-1,6263
lj_term6,0,4475
lj_term6,1,2952
lj_term6,2,1732
lj_term6,3,914
lj_term6,4,402
lj_term6,5,128
lj_term6,6,20
lj_term6,7,1
lj_term6,8,1
nb_force_acc,-15,1
nb_force_acc,-13,7
nb_force_acc,-12,5
nb_force_acc,-11,4
nb_force_acc,-10,4
nb_force_acc,-9,23
nb_force_acc,-8,18
nb_force_acc,-7,73
nb_force_acc,-6,62
nb_force_acc,-5,63
nb_force_acc,-4,236
nb_force_acc,-3,769
nb_force_acc,-2,937
nb_force_acc,-1,2118
nb_force_acc,0,3765
nb_force_acc,1,7002
nb_force_acc,2,12765
nb_force_acc,3,26278
nb_force_acc,4,40902
nb_force_acc,5,50278
nb_force_acc,6,49335
nb_force_acc,7,36266
nb_force_acc,8,30763
nb_force_acc,9,12033
nb_force_acc,10,2430
nb_force_acc,11,524
nb_force_acc,16,145
nb_fscal,-27,1
nb_fscal,-23,1
nb_fscal,-22,1
nb_fscal,-21,3
nb_fscal,-20,6
nb_fscal,-19,17
nb_fscal,-18,21
nb_fscal,-17,57
nb_fscal,-16,117
nb_fscal,-15,199
nb_fscal,-14,400
nb_fscal,-13,904
nb_fscal,-12,2009
nb_fscal,-11,2534
nb_fscal,-10,2083
nb_fscal,-9,4195
nb_fscal,-8,8204
nb_fscal,-7,10952
nb_fscal,-6,12803
nb_fscal,-5,13705
nb_fscal,-4,11565
nb_fscal,-3,10824
nb_fscal,-2,10374
nb_fscal,-1,9662
nb_fscal,0,9184
nb_fscal,1,8568
nb_fscal,2,7880
nb_fscal,3,6810
nb_fscal,4,6194
nb_fscal,5,5539
nb_fscal,6,4578
nb_fscal,7,3768
nb_fscal,8,1853
nb_fscal,9,1447
nb_fscal,10,727
nb_fscal,11,206
nb_fscal,12,68
nb_fscal,13,12
nb_fscal,14,2
nb_fscal,15,3
nb_fscal,20,1
rinv,1,131336
rinv,2,21965
rinv,3,3574
rinv,4,695
rinv,60,530
