operand,binade_exp,count
coulomb_qq,-4,59
coulomb_qq,-2,985
coulomb_qq,-1,7779
coulomb_qq,0,53014
coulomb_qq,1,195003
coulomb_qq,2,164004
coulomb_qq,3,242686
coulomb_qq,4,89146
coulomb_qq,5,79490
coulomb_qq,6,59428
coulomb_qq,7,1925
coulomb_term,-4,14
coulomb_term,-3,41
coulomb_term,-2,532
coulomb_term,-1,6099
coulomb_term,0,20634
coulomb_term,1,169491
coulomb_term,2,117461
coulomb_term,3,206328
coulomb_term,4,177611
coulomb_term,5,94908
coulomb_term,6,71221
coulomb_term,7,24567
coulomb_term,8,3520
coulomb_term,9,900
coulomb_term,10,192
lj_c12,-52,1
lj_c12,-44,2
lj_c12,-39,1
lj_c12,-36,2
lj_c12,-32,2
lj_c12,-31,10
lj_c12,-30,4
lj_c12,-28,15
lj_c12,-26,6
lj_c12,-25,12
lj_c12,-24,34
lj_c12,-23,10
lj_c12,-22,61
lj_c12,-21,24
lj_c12,-20,22
lj_c12,-19,38
lj_c12,-18,88
lj_c12,-17,148
lj_c12,-16,29
lj_c12,-15,48
lj_c12,-14,129
lj_c12,-13,184
lj_c12,-12,29
lj_c12,-11,1
lj_c6,-25,1
lj_c6,-21,2
lj_c6,-18,1
lj_c6,-17,2
lj_c6,-15,14
lj_c6,-14,2
lj_c6,-13,15
lj_c6,-12,16
lj_c6,-11,63
lj_c6,-10,44
lj_c6,-9,62
lj_c6,-8,190
lj_c6,-7,92
lj_c6,-6,165
lj_c6,-5,202
lj_c6,-4,28
lj_c6,-3,1
lj_force,-25,1927
lj_force,-24,1981
lj_force,-23,1596
lj_force,-22,1051
lj_force,-21,855
lj_force,-20,492
lj_force,-19,484
lj_force,-18,418
lj_force,-17,308
lj_force,-16,237
lj_force,-15,4652
lj_force,-14,18313
lj_force,-13,13313
lj_force,-12,12366
lj_force,-11,23392
lj_force,-10,57365
lj_force,-9,48291
lj_force,-8,76761
lj_force,-7,106641
lj_force,-6,97988
lj_force,-5,107762
lj_force,-4,86091
lj_force,-3,66182
lj_force,-2,51679
lj_force,-1,42942
lj_force,0,30027
lj_force,1,9668
lj_force,2,1852
lj_force,3,1438
lj_force,4,1236
lj_force,5,1009
lj_force,6,800
lj_force,7,477
lj_force,8,154
lj_force,9,45
lj_force,10,11
lj_force,11,5
lj_force,12,3
lj_force,13,1
lj_rinv6,1,229778
lj_rinv6,2,170586
lj_rinv6,3,128576
lj_rinv6,4,99874
lj_rinv6,5,75155
lj_rinv6,6,55375
lj_rinv6,7,43387
lj_rinv6,8,28053
lj_rinv6,9,16939
lj_rinv6,10,9529
lj_rinv6,11,5899
lj_rinv6,12,3720
lj_rinv6,13,2053
lj_rinv6,14,618
lj_rinv6,15,201
lj_rinv6,16,55
lj_rinv6,17,11
lj_rinv6,18,4
lj_term12,-52,761
lj_term12,-51,1397
lj_term12,-50,1029
lj_term12,-49,911
lj_term12,-48,849
lj_term12,-47,693
lj_term12,-46,505
lj_term12,-45,512
lj_term12,-44,449
lj_term12,-43,354
lj_term12,-42,269
lj_term12,-41,228
lj_term12,-40,238
lj_term12,-39,244
lj_term12,-38,212
lj_term12,-37,197
lj_term12,-36,199
lj_term12,-35,78
lj_term12,-34,182
lj_term12,-33,51
lj_term12,-32,45
lj_term12,-31,3131
lj_term12,-30,9891
lj_term12,-29,8821
lj_term12,-28,7359
lj_term12,-27,6195
lj_term12,-26,7173
lj_term12,-25,7118
lj_term12,-24,12381
lj_term12,-23,14397
lj_term12,-22,19655
lj_term12,-21,29567
lj_term12,-20,25750
lj_term12,-19,24155
lj_term12,-18,32540
lj_term12,-17,55944
lj_term12,-16,56866
lj_term12,-15,51011
lj_term12,-14,54077
lj_term12,-13,62297
lj_term12,-12,57241
lj_term12,-11,48120
lj_term12,-10,41868
lj_term12,-9,36558
lj_term12,-8,31832
lj_term12,-7,26735
lj_term12,-6,22975
lj_term12,-5,21378
lj_term12,-4,18227
lj_term12,-3,14929
lj_term12,-2,12379
lj_term12,-1,10400
lj_term12,0,8710
lj_term12,1,6468
lj_term12,2,4717
lj_term12,3,3418
lj_term12,4,2416
lj_term12,5,1601
lj_term12,6,1079
lj_term12,7,718
lj_term12,8,231
lj_term12,9,59
lj_term12,10,14
lj_term12,11,5
lj_term12,12,2
lj_term12,13,2
lj_term6,-25,1927
lj_term6,-24,1981
lj_term6,-23,1596
lj_term6,-22,1051
lj_term6,-21,855
lj_term6,-20,492
lj_term6,-19,484
lj_term6,-18,418
lj_term6,-17,308
lj_term6,-16,237
lj_term6,-15,4651
lj_term6,-14,18313
lj_term6,-13,13313
lj_term6,-12,12362
lj_term6,-11,23380
lj_term6,-10,57336
lj_term6,-9,48252
lj_term6,-8,76521
lj_term6,-7,106432
lj_term6,-6,97321
lj_term6,-5,106996
lj_term6,-4,85126
lj_term6,-3,64220
lj_term6,-2,48037
lj_term6,-1,35865
lj_term6,0,25385
lj_term6,1,17254
lj_term6,2,10371
lj_term6,3,5504
lj_term6,4,2562
lj_term6,5,1087
lj_term6,6,168
lj_term6,7,8
nb_force_acc,-20,2
nb_force_acc,-19,1
nb_force_acc,-17,1
nb_force_acc,-16,1
nb_force_acc,-15,18
nb_force_acc,-14,40
nb_force_acc,-13,19
nb_force_acc,-12,40
nb_force_acc,-11,228
nb_force_acc,-10,194
nb_force_acc,-9,155
nb_force_acc,-8,246
nb_force_acc,-7,304
nb_force_acc,-6,708
nb_force_acc,-5,966
nb_force_acc,-4,1756
nb_force_acc,-3,3502
nb_force_acc,-2,7948
nb_force_acc,-1,12869
nb_force_acc,0,27297
nb_force_acc,1,52049
nb_force_acc,2,95801
nb_force_acc,3,153426
nb_force_acc,4,222083
nb_force_acc,5,289695
nb_force_acc,6,295421
nb_force_acc,7,243539
nb_force_acc,8,174916
nb_force_acc,9,94602
nb_force_acc,10,22315
nb_force_acc,11,7879
nb_force_acc,12,1110
nb_force_acc,13,884
nb_force_acc,14,88
nb_force_acc,15,93
nb_fscal,-25,1
nb_fscal,-24,1
nb_fscal,-23,4
nb_fscal,-22,9
nb_fscal,-21,17
nb_fscal,-20,42
nb_fscal,-19,88
nb_fscal,-18,140
nb_fscal,-17,277
nb_fscal,-16,537
nb_fscal,-15,1137
nb_fscal,-14,2332
nb_fscal,-13,4859
