operand,binade_exp,count
coulomb_qq,-9,1506
coulomb_qq,-7,5872
coulomb_qq,-6,4978
coulomb_qq,-5,7058
coulomb_qq,-4,22484
coulomb_qq,-3,29805
coulomb_qq,-2,482702
coulomb_qq,-1,279269
coulomb_qq,0,945548
coulomb_qq,1,641366
coulomb_qq,2,1040548
coulomb_qq,3,2218481
coulomb_qq,4,3256081
coulomb_qq,5,1993406335
coulomb_qq,6,2009561346
coulomb_qq,7,503619381
coulomb_qq,8,15658
coulomb_term,-9,5
coulomb_term,-8,1038
coulomb_term,-7,1077
coulomb_term,-6,4574
coulomb_term,-5,5693
coulomb_term,-4,15923
coulomb_term,-3,25549
coulomb_term,-2,367528
coulomb_term,-1,326582
coulomb_term,0,648625
coulomb_term,1,927904
coulomb_term,2,1078373
coulomb_term,3,1939046
coulomb_term,4,2788172
coulomb_term,5,1500793361
coulomb_term,6,1942426393
coulomb_term,7,868991635
coulomb_term,8,169807385
coulomb_term,9,25383182
coulomb_term,10,6373
lj_c12,-37,1
lj_c12,-31,2
lj_c12,-28,2
lj_c12,-27,4
lj_c12,-26,1
lj_c12,-25,2
lj_c12,-24,6
lj_c12,-23,16
lj_c12,-22,7
lj_c12,-21,8
lj_c12,-20,12
lj_c12,-19,17
lj_c12,-18,30
lj_c12,-17,38
lj_c12,-16,2
lj_c12,-15,38
lj_c12,-14,51
lj_c12,-12,12
lj_c12,-11,6
lj_c12,-9,1
lj_c6,-18,1
lj_c6,-15,2
lj_c6,-14,4
lj_c6,-13,5
lj_c6,-12,8
lj_c6,-11,25
lj_c6,-10,9
lj_c6,-9,20
lj_c6,-8,72
lj_c6,-7,10
lj_c6,-6,33
lj_c6,-5,48
lj_c6,-4,18
lj_c6,-3,1
lj_force,-20,1130
lj_force,-19,4522
lj_force,-18,4652
lj_force,-17,4353
lj_force,-16,4494
lj_force,-15,10666
lj_force,-14,15699
lj_force,-13,16920
lj_force,-12,290717
lj_force,-11,298054
lj_force,-10,558017
lj_force,-9,1369720
lj_force,-8,983333
lj_force,-7,101117651
lj_force,-6,118575123
lj_force,-5,84638504
lj_force,-4,59363953
lj_force,-3,42713927
lj_force,-2,30964695
lj_force,-1,21631822
lj_force,0,16685562
lj_force,1,18936722
lj_force,2,722813
lj_force,3,928671
lj_force,4,1137877
lj_force,5,1421302
lj_force,6,1932284
lj_force,7,2466271
lj_force,8,1671164
lj_force,9,232244
lj_force,10,1252
lj_rinv6,-1,416346778
lj_rinv6,0,550047226
lj_rinv6,1,389121695
lj_rinv6,2,273799874
lj_rinv6,3,195355690
lj_rinv6,4,138189979
lj_rinv6,5,96926704
lj_rinv6,6,67697443
lj_rinv6,7,47481533
lj_rinv6,8,34023801
lj_rinv6,9,26089771
lj_rinv6,10,21088935
lj_rinv6,11,14981771
lj_rinv6,12,7519499
lj_rinv6,13,2820710
lj_rinv6,14,2290786
lj_rinv6,15,2337551
lj_rinv6,16,773382
lj_rinv6,17,10207
lj_rinv6,18,6
lj_term12,-40,439
lj_term12,-39,2123
lj_term12,-38,2298
lj_term12,-37,2316
lj_term12,-36,2365
lj_term12,-35,2170
lj_term12,-34,2161
lj_term12,-33,2311
lj_term12,-32,2172
lj_term12,-31,2646
lj_term12,-30,6023
lj_term12,-29,7235
lj_term12,-28,7911
lj_term12,-27,8909
lj_term12,-26,156227
lj_term12,-25,172513
lj_term12,-24,149839
lj_term12,-23,140844
lj_term12,-22,131183
lj_term12,-21,228842
lj_term12,-20,613354
lj_term12,-19,673921
lj_term12,-18,19200269
lj_term12,-17,77293984
lj_term12,-16,65027473
lj_term12,-15,54919165
lj_term12,-14,46556982
lj_term12,-13,39144564
lj_term12,-12,32689283
lj_term12,-11,27329577
lj_term12,-10,23132109
lj_term12,-9,19759076
lj_term12,-8,16787602
lj_term12,-7,13989067
lj_term12,-6,11491222
lj_term12,-5,9511966
lj_term12,-4,8090897
lj_term12,-3,6828482
lj_term12,-2,5760383
lj_term12,-1,4847337
lj_term12,0,4060053
lj_term12,1,3360189
lj_term12,2,2778358
lj_term12,3,2317821
lj_term12,4,1989502
lj_term12,5,1842802
lj_term12,6,2053558
lj_term12,7,2713836
lj_term12,8,2405713
lj_term12,9,500191
lj_term12,10,4851
lj_term6,-20,1130
lj_term6,-19,4520
lj_term6,-18,4645
lj_term6,-17,4348
lj_term6,-16,4481
lj_term6,-15,10649
lj_term6,-14,15637
lj_term6,-13,16808
lj_term6,-12,290441
lj_term6,-11,297573
lj_term6,-10,555887
lj_term6,-9,1367090
lj_term6,-8,979230
lj_term6,-7,100904186
lj_term6,-6,118470793
lj_term6,-5,84486109
lj_term6,-4,59136321
lj_term6,-3,42319433
lj_term6,-2,30350931
lj_term6,-1,20678779
lj_term6,0,14681185
lj_term6,1,10436206
lj_term6,2,7312313
lj_term6,3,5034928
lj_term6,4,3847940
lj_term6,5,4817139
lj_term6,6,2672492
lj_term6,7,2920
nb_force_acc,-27,2
nb_force_acc,-26,9
nb_force_acc,-25,2
nb_force_acc,-24,68
nb_force_acc,-23,46
nb_force_acc,-22,144
nb_force_acc,-21,316
nb_force_acc,-20,616
nb_force_acc,-19,1274
nb_force_acc,-18,2314
nb_force_acc,-17,4913
nb_force_acc,-16,8158
nb_force_acc,-15,17792
nb_force_acc,-14,35513
nb_force_acc,-13,71574
nb_force_acc,-12,143754
nb_force_acc,-11,287515
nb_force_acc,-10,569492
nb_force_acc,-9,1092432
nb_force_acc,-8,2172445
nb_force_acc,-7,3564871
nb_force_acc,-6,4756220
nb_force_acc,-5,5635218
nb_force_acc,-4,6695036
nb_force_acc,-3,8116233
nb_force_acc,-2,10195619
nb_force_acc,-1,13724795
nb_force_acc,0,19903801
nb_force_acc,1,31139906
nb_force_acc,2,52207917
nb_force_acc,3,92984650
nb_force_acc,4,171592822
nb_force_acc,5,323324221
nb_force_acc,6,603470701
nb_force_acc,7,1072143550
nb_force_acc,8,1650166539
nb_force_acc,9,1782057795
nb_force_acc,10,1091179404
nb_force_acc,11,362428056
nb_force_acc,12,32071435
nb_force_acc,13,16842
nb_fscal,-24,2
nb_fscal,-23,8
nb_fscal,-22,13
nb_fscal,-21,36
nb_fscal,-20,51
nb_fscal,-19,100
nb_fscal,-18,204
nb_fscal,-17,418
nb_fscal,-16,795
nb_fscal,-15,17277
nb_fscal,-14,47129
nb_fscal,-13,64833
nb_fscal,-12,143397
nb_fscal,-11,207225
nb_fscal,-10,352533
nb_fscal,-9,574384
nb_fscal,-8,74024772
nb_fscal,-7,259517212
nb_fscal,-6,399690166
nb_fscal,-5,390644155
nb_fscal,-4,374653867
nb_fscal,-3,357343718
nb_fscal,-2,338530644
nb_fscal,-1,318196290
nb_fscal,0,296877768
nb_fscal,1,274970440
nb_fscal,2,252818623
nb_fscal,3,229300029
nb_fscal,4,204278069
nb_fscal,5,177323177
nb_fscal,6,150578130
nb_fscal,7,122716552
nb_fscal,8,96488195
nb_fscal,9,77190844
nb_fscal,10,63486948
nb_fscal,11,34717460
nb_fscal,12,10776336
nb_fscal,13,8727291
nb_fscal,14,1279231
nb_fscal,15,96
rinv,0,1904549268
rinv,1,2287650660
rinv,2,293358659
rinv,3,21667415
