operand,binade_exp,count
coulomb_qq,-1,8
coulomb_qq,0,493
coulomb_qq,1,1781
coulomb_qq,2,20810
coulomb_qq,3,132953
coulomb_qq,4,327348
coulomb_qq,5,5454146
coulomb_qq,6,5432933
coulomb_qq,7,1437022
coulomb_qq,8,30638
coulomb_qq,9,596
coulomb_term,0,38
coulomb_term,1,1114
coulomb_term,2,9993
coulomb_term,3,57354
coulomb_term,4,169904
coulomb_term,5,3503656
coulomb_term,6,5275618
coulomb_term,7,2943708
coulomb_term,8,747236
coulomb_term,9,127464
coulomb_term,10,1557
coulomb_term,11,1086
lj_c12,-22,1
lj_c12,-19,12
lj_c12,-18,22
lj_c12,-17,10
lj_c12,-16,58
lj_c12,-15,159
lj_c12,-14,145
lj_c12,-13,258
lj_c12,-12,109
lj_c12,-11,88
lj_c12,-10,33
lj_c12,-9,5
lj_c6,-10,1
lj_c6,-8,34
lj_c6,-7,24
lj_c6,-6,266
lj_c6,-5,310
lj_c6,-4,213
lj_c6,-3,52
lj_force,-15,1
lj_force,-13,1
lj_force,-12,3
lj_force,-11,7
lj_force,-10,334
lj_force,-9,259
lj_force,-8,6343
lj_force,-7,15394
lj_force,-6,28994
lj_force,-5,560624
lj_force,-4,730278
lj_force,-3,585895
lj_force,-2,409718
lj_force,-1,298940
lj_force,0,257162
lj_force,1,243094
lj_force,2,26874
lj_force,3,11691
lj_force,4,11025
lj_force,5,10885
lj_force,6,11081
lj_force,7,13129
lj_force,8,9503
lj_force,9,1638
lj_force,10,11
lj_rinv6,1,2563233
lj_rinv6,2,1795830
lj_rinv6,3,1269291
lj_rinv6,4,897122
lj_rinv6,5,635147
lj_rinv6,6,459974
lj_rinv6,7,329962
lj_rinv6,8,229149
lj_rinv6,9,156716
lj_rinv6,10,114480
lj_rinv6,11,72329
lj_rinv6,12,37286
lj_rinv6,13,13453
lj_rinv6,14,11041
lj_rinv6,15,12307
lj_rinv6,16,6304
lj_rinv6,17,270
lj_rinv6,18,31
lj_rinv6,19,139
lj_rinv6,20,40
lj_term12,-22,83
lj_term12,-21,157
lj_term12,-20,142
lj_term12,-19,1055
lj_term12,-18,4571
lj_term12,-17,5353
lj_term12,-16,10388
lj_term12,-15,27946
lj_term12,-14,249779
lj_term12,-13,285217
lj_term12,-12,305261
lj_term12,-11,355424
lj_term12,-10,330144
lj_term12,-9,279053
lj_term12,-8,229287
lj_term12,-7,189652
lj_term12,-6,156515
lj_term12,-5,130849
lj_term12,-4,112976
lj_term12,-3,99699
lj_term12,-2,88727
lj_term12,-1,77239
lj_term12,0,67274
lj_term12,1,56925
lj_term12,2,45915
lj_term12,3,34429
lj_term12,4,25038
lj_term12,5,18069
lj_term12,6,14529
lj_term12,7,14548
lj_term12,8,13277
lj_term12,9,3320
lj_term12,10,43
lj_term6,-10,323
lj_term6,-9,234
lj_term6,-8,6265
lj_term6,-7,15241
lj_term6,-6,28349
lj_term6,-5,556671
lj_term6,-4,724004
lj_term6,-3,579729
lj_term6,-2,400541
lj_term6,-1,279350
lj_term6,0,206419
lj_term6,1,162214
lj_term6,2,117068
lj_term6,3,73060
lj_term6,4,38747
lj_term6,5,28442
lj_term6,6,16162
lj_term6,7,65
nb_force_acc,-25,4
nb_force_acc,-23,5
nb_force_acc,-22,13
nb_force_acc,-21,6
nb_force_acc,-20,8
nb_force_acc,-19,11
nb_force_acc,-18,57
nb_force_acc,-17,39
nb_force_acc,-16,129
nb_force_acc,-15,212
nb_force_acc,-14,634
nb_force_acc,-13,960
nb_force_acc,-12,1876
nb_force_acc,-11,4293
nb_force_acc,-10,8312
nb_force_acc,-9,16025
nb_force_acc,-8,29269
nb_force_acc,-7,53440
nb_force_acc,-6,76661
nb_force_acc,-5,95507
nb_force_acc,-4,117737
nb_force_acc,-3,146829
nb_force_acc,-2,181390
nb_force_acc,-1,235952
nb_force_acc,0,322340
nb_force_acc,1,446979
nb_force_acc,2,641179
nb_force_acc,3,942656
nb_force_acc,4,1428209
nb_force_acc,5,1898563
nb_force_acc,6,2611933
nb_force_acc,7,3850305
nb_force_acc,8,4955539
nb_force_acc,9,4590450
nb_force_acc,10,2673942
nb_force_acc,11,929778
nb_force_acc,12,87406
nb_force_acc,13,47
nb_fscal,-24,1
nb_fscal,-22,1
nb_fscal,-21,2
nb_fscal,-20,1
nb_fscal,-19,5
nb_fscal,-18,9
nb_fscal,-17,13
nb_fscal,-16,40
nb_fscal,-15,70
nb_fscal,-14,151
nb_fscal,-13,319
nb_fscal,-12,663
nb_fscal,-11,1211
nb_fscal,-10,2747
nb_fscal,-9,8065
nb_fscal,-8,26229
nb_fscal,-7,415500
nb_fscal,-6,928229
nb_fscal,-5,1126107
nb_fscal,-4,1332179
nb_fscal,-3,1283388
nb_fscal,-2,1166828
nb_fscal,-1,1071550
nb_fscal,0,994750
nb_fscal,1,923534
nb_fscal,2,859919
nb_fscal,3,780316
nb_fscal,4,641676
nb_fscal,5,559438
nb_fscal,6,490061
nb_fscal,7,416187
nb_fscal,8,356048
nb_fscal,9,290940
nb_fscal,10,255916
nb_fscal,11,109221
nb_fscal,12,43270
nb_fscal,13,38277
nb_fscal,14,6311
nb_fscal,15,227
nb_fscal,16,37
rinv,1,12164295
rinv,2,1571456
rinv,3,137360
rinv,4,43847
rinv,60,24891
